2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 13:43:15,499 p=57113 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:43:15,506 p=57113 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 13:43:16,193 p=57113 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:43:16,206 p=57113 u=jason n=ansible | RUNNING HANDLER [bind : Restart Bind9] **********************************************************************************************************************************
2024-11-18 13:43:16,851 p=57113 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 13:43:16,853 p=57113 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 13:43:16,866 p=57113 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 13:43:16,873 p=57113 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 13:43:16,880 p=57113 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 13:43:16,886 p=57113 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 13:43:16,894 p=57113 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 13:43:16,900 p=57113 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 13:43:16,900 p=57113 u=jason n=ansible | 1PipeTeaseOps-1            : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:43:16,901 p=57113 u=jason n=ansible | 1PipeTeaseOps-2            : ok=12   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:51:27,054 p=59223 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 13:51:27,063 p=59223 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:28,947 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:28,959 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:28,967 p=59223 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 13:51:28,973 p=59223 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 13:51:28,981 p=59223 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 13:51:28,986 p=59223 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 13:51:28,992 p=59223 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 13:51:28,997 p=59223 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 13:51:29,002 p=59223 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 13:51:29,006 p=59223 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:30,064 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:30,065 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:30,070 p=59223 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 13:51:31,344 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:31,345 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:31,353 p=59223 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 13:51:32,240 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:32,241 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:32,247 p=59223 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 13:51:32,934 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:32,935 p=59223 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:32,944 p=59223 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 13:51:32,944 p=59223 u=jason n=ansible | 1PipeTeaseOps-1            : ok=5    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:51:32,944 p=59223 u=jason n=ansible | 1PipeTeaseOps-2            : ok=5    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:51:41,799 p=59411 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 13:51:41,805 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:43,054 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:43,063 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:43,067 p=59411 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 13:51:44,085 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:44,112 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:44,116 p=59411 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 13:51:45,234 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:45,234 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:45,240 p=59411 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 13:51:45,951 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:45,952 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:45,965 p=59411 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 13:51:45,972 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:46,986 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:46,991 p=59411 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 13:51:48,119 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:48,125 p=59411 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 13:51:48,934 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:48,939 p=59411 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 13:51:49,604 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:49,607 p=59411 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 13:51:50,280 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:50,287 p=59411 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 13:51:50,959 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:50,967 p=59411 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 13:51:51,392 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:51,396 p=59411 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 13:51:51,754 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:51,760 p=59411 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 13:51:52,120 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:52,128 p=59411 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 13:51:52,644 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:52,652 p=59411 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 13:51:52,658 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:53,675 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:53,690 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:53,694 p=59411 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 13:51:54,326 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:54,326 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:54,333 p=59411 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 13:51:54,839 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:51:54,839 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:54,851 p=59411 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 13:51:54,856 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:55,878 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:55,884 p=59411 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 13:51:56,918 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:56,925 p=59411 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 13:51:57,586 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:57,592 p=59411 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 13:51:58,228 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:58,238 p=59411 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 13:51:58,748 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:58,756 p=59411 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 13:51:58,763 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:51:59,819 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:51:59,823 p=59411 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 13:52:00,915 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:00,921 p=59411 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 13:52:01,592 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:01,597 p=59411 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 13:52:02,115 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:02,121 p=59411 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 13:52:02,591 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:02,597 p=59411 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 13:52:03,240 p=59411 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 13:52:03,240 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:03,244 p=59411 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 13:52:03,250 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:52:04,304 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:04,310 p=59411 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 13:52:04,843 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:04,849 p=59411 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 13:52:05,212 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:05,216 p=59411 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 13:52:06,328 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:06,334 p=59411 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 13:52:06,924 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:06,933 p=59411 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 13:52:06,939 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:52:07,985 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:07,989 p=59411 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 13:52:09,064 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:09,067 p=59411 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 13:52:09,733 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:09,736 p=59411 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 13:52:10,249 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:10,255 p=59411 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 13:52:10,260 p=59411 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:52:11,282 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:11,294 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:11,298 p=59411 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 13:52:12,385 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:12,500 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:12,506 p=59411 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 13:52:13,223 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:13,262 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:13,267 p=59411 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 13:52:13,785 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:52:13,785 p=59411 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:52:13,794 p=59411 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 13:52:13,794 p=59411 u=jason n=ansible | 1PipeTeaseOps-1            : ok=20   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:52:13,794 p=59411 u=jason n=ansible | 1PipeTeaseOps-2            : ok=32   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:56:59,689 p=61179 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 13:56:59,698 p=61179 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:57:01,482 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 13:57:01,510 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:57:01,518 p=61179 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 13:57:01,524 p=61179 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 13:57:01,532 p=61179 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 13:57:01,536 p=61179 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 13:57:02,579 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:57:02,584 p=61179 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 13:57:03,832 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:57:03,838 p=61179 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 13:57:04,655 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:57:04,661 p=61179 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 13:57:05,494 p=61179 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 13:57:05,501 p=61179 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 13:57:06,173 p=61179 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 13:57:06,188 p=61179 u=jason n=ansible | RUNNING HANDLER [prometheus : Restart Prometheus] ***********************************************************************************************************************
2024-11-18 13:57:06,997 p=61179 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 13:57:06,999 p=61179 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 13:57:07,008 p=61179 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 13:57:07,016 p=61179 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 13:57:07,022 p=61179 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 13:57:07,030 p=61179 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 13:57:07,030 p=61179 u=jason n=ansible | 1PipeTeaseOps-1            : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 13:57:07,030 p=61179 u=jason n=ansible | 1PipeTeaseOps-2            : ok=7    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 14:03:37,774 p=62839 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 14:03:37,784 p=62839 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:03:39,889 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:03:39,904 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:03:39,912 p=62839 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 14:03:39,918 p=62839 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 14:03:39,927 p=62839 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 14:03:39,932 p=62839 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 14:03:39,938 p=62839 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 14:03:39,943 p=62839 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 14:03:39,948 p=62839 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 14:03:39,952 p=62839 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:03:40,990 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:03:40,991 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:03:40,996 p=62839 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 14:03:42,299 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:03:42,307 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:03:42,316 p=62839 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 14:03:43,122 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:03:43,270 p=62839 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 14:03:43,278 p=62839 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 14:03:43,953 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:03:43,956 p=62839 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:03:43,973 p=62839 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 14:03:44,529 p=62839 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 14:03:44,530 p=62839 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 14:03:44,530 p=62839 u=jason n=ansible | 1PipeTeaseOps-1            : ok=6    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 14:03:44,530 p=62839 u=jason n=ansible | 1PipeTeaseOps-2            : ok=5    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 14:05:54,439 p=63510 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 14:05:54,448 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:05:55,955 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:05:55,972 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:05:55,976 p=63510 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 14:05:56,901 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:05:56,932 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:05:56,938 p=63510 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 14:05:58,064 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:05:58,070 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:05:58,077 p=63510 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 14:05:58,784 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:05:58,786 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:05:58,799 p=63510 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 14:05:58,806 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:05:59,837 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:05:59,843 p=63510 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 14:06:00,952 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:00,961 p=63510 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 14:06:01,792 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:01,797 p=63510 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 14:06:02,552 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:02,559 p=63510 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 14:06:03,305 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:03,313 p=63510 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 14:06:04,043 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:04,051 p=63510 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 14:06:04,524 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:04,530 p=63510 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 14:06:04,923 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:04,929 p=63510 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 14:06:05,332 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:05,340 p=63510 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 14:06:05,897 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:05,904 p=63510 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 14:06:05,911 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:06,931 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:06,951 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:06,955 p=63510 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 14:06:07,641 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:07,644 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:07,651 p=63510 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 14:06:08,180 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:08,190 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 14:06:08,202 p=63510 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 14:06:08,208 p=63510 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 14:06:09,222 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:09,227 p=63510 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 14:06:10,831 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:10,837 p=63510 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 14:06:11,566 p=63510 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 14:06:11,570 p=63510 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
